2026-03-11 19:18:44 - INFO - viterbi processed marker 200 for S2_two_ancestries_1_h1
2026-03-11 19:18:46 - INFO - viterbi processed marker 300 for S2_two_ancestries_1_h1
2026-03-11 19:18:48 - INFO - viterbi processed marker 400 for S2_two_ancestries_1_h1
2026-03-11 19:18:49 - INFO - viterbi processed marker 500 for S2_two_ancestries_1_h1
2026-03-11 19:18:51 - INFO - viterbi processed marker 600 for S2_two_ancestries_1_h1
2026-03-11 19:18:52 - INFO - viterbi processed marker 700 for S2_two_ancestries_1_h1
2026-03-11 19:18:54 - INFO - viterbi processed marker 800 for S2_two_ancestries_1_h1
2026-03-11 19:18:56 - INFO - viterbi processed marker 900 for S2_two_ancestries_1_h1
2026-03-11 19:18:57 - INFO - viterbi processed marker 1000 for S2_two_ancestries_1_h1
2026-03-11 19:18:59 - INFO - viterbi processed marker 1100 for S2_two_ancestries_1_h1
2026-03-11 19:19:00 - INFO - viterbi processed marker 1200 for S2_two_ancestries_1_h1
2026-03-11 19:19:02 - INFO - viterbi processed marker 1300 for S2_two_ancestries_1_h1
2026-03-11 19:19:03 - INFO - viterbi processed marker 1400 for S2_two_ancestries_1_h1
2026-03-11 19:19:05 - INFO - viterbi processed marker 1500 for S2_two_ancestries_1_h1
2026-03-11 19:19:07 - INFO - viterbi processed marker 1600 for S2_two_ancestries_1_h1
2026-03-11 19:19:08 - INFO - viterbi processed marker 1700 for S2_two_ancestries_1_h1
2026-03-11 19:19:10 - INFO - viterbi processed marker 1800 for S2_two_ancestries_1_h1
2026-03-11 19:19:11 - INFO - viterbi processed marker 1900 for S2_two_ancestries_1_h1
2026-03-11 19:19:13 - INFO - viterbi processed marker 2000 for S2_two_ancestries_1_h1
2026-03-11 19:19:14 - INFO - viterbi processed marker 2100 for S2_two_ancestries_1_h1
2026-03-11 19:19:16 - INFO - viterbi processed marker 2200 for S2_two_ancestries_1_h1
2026-03-11 19:19:18 - INFO - viterbi processed marker 2300 for S2_two_ancestries_1_h1
2026-03-11 19:19:19 - INFO - viterbi processed marker 2400 for S2_two_ancestries_1_h1
2026-03-11 19:19:21 - INFO - viterbi processed marker 2500 for S2_two_ancestries_1_h1
2026-03-11 19:19:22 - INFO - viterbi processed marker 2600 for S2_two_ancestries_1_h1
2026-03-11 19:19:24 - INFO - viterbi processed marker 2700 for S2_two_ancestries_1_h1
2026-03-11 19:19:25 - INFO - viterbi processed marker 2800 for S2_two_ancestries_1_h1
2026-03-11 19:19:27 - INFO - viterbi processed marker 2900 for S2_two_ancestries_1_h1
2026-03-11 19:19:28 - INFO - viterbi processed marker 3000 for S2_two_ancestries_1_h1
2026-03-11 19:19:30 - INFO - viterbi processed marker 3100 for S2_two_ancestries_1_h1
2026-03-11 19:19:32 - INFO - viterbi processed marker 3200 for S2_two_ancestries_1_h1
2026-03-11 19:19:33 - INFO - viterbi processed marker 3300 for S2_two_ancestries_1_h1
2026-03-11 19:19:35 - INFO - viterbi processed marker 3400 for S2_two_ancestries_1_h1
2026-03-11 19:19:36 - INFO - viterbi processed marker 3500 for S2_two_ancestries_1_h1
2026-03-11 19:19:38 - INFO - viterbi processed marker 3600 for S2_two_ancestries_1_h1
2026-03-11 19:19:40 - INFO - viterbi processed marker 3700 for S2_two_ancestries_1_h1
2026-03-11 19:19:41 - INFO - viterbi processed marker 3800 for S2_two_ancestries_1_h1
2026-03-11 19:19:43 - INFO - viterbi processed marker 3900 for S2_two_ancestries_1_h1
2026-03-11 19:19:44 - INFO - viterbi processed marker 4000 for S2_two_ancestries_1_h1
2026-03-11 19:19:46 - INFO - viterbi processed marker 4100 for S2_two_ancestries_1_h1
2026-03-11 19:19:47 - INFO - viterbi processed marker 4200 for S2_two_ancestries_1_h1
2026-03-11 19:19:49 - INFO - viterbi processed marker 4300 for S2_two_ancestries_1_h1
2026-03-11 19:19:51 - INFO - viterbi processed marker 4400 for S2_two_ancestries_1_h1
2026-03-11 19:19:52 - INFO - viterbi processed marker 4500 for S2_two_ancestries_1_h1
2026-03-11 19:19:54 - INFO - viterbi processed marker 4600 for S2_two_ancestries_1_h1
2026-03-11 19:19:55 - INFO - viterbi processed marker 4700 for S2_two_ancestries_1_h1
2026-03-11 19:19:57 - INFO - viterbi processed marker 4800 for S2_two_ancestries_1_h1
2026-03-11 19:19:58 - INFO - viterbi processed marker 4900 for S2_two_ancestries_1_h1
2026-03-11 19:20:00 - INFO - viterbi processed marker 5000 for S2_two_ancestries_1_h1
2026-03-11 19:20:01 - INFO - viterbi processed marker 5100 for S2_two_ancestries_1_h1
2026-03-11 19:20:03 - INFO - viterbi processed marker 5200 for S2_two_ancestries_1_h1
